Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$12.64,-0.01,-0.079%,1468098308.00,United States,2003,275395,,
EVY,Eaton Vance New York Municipal Income Trust Shares of Beneficial Interest,$13.87,0.10,0.726%,74923354.00,United States,1999,16476,,
EXN,Excellon Resources Inc. Common Shares,$3.37,-0.16,-4.533%,108072530.00,,2020,106059,Basic Industries,Precious Metals
FAX,Aberdeen Asia-Pacific Income Fund Inc Common Stock,$4.41,-0.03,-0.676%,1092338341.00,United States,1986,1332999,,
FCO,Aberdeen Global Income Fund Inc. Common Stock,$8.06,-0.14,-1.707%,70371425.00,United States,1992,118450,,
FEN,First Trust Energy Income and Growth Fund,$12.26,-0.04,-0.325%,242389579.00,United States,2004,87740,,
FRD,Friedman Industries Inc. Common Stock,$8.90,1.49,20.108%,62691013.00,United States,,431472,Capital Goods,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$3.79,-0.04,-1.044%,46391666.00,Canada,,188385,Basic Industries,Major Chemicals
FSP,Franklin Street Properties Corp. Common Stock,$4.99,0.49,10.889%,535567713.00,United States,,1179982,Consumer Services,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$9.49,-0.04,-0.42%,286017544.00,United States,2003,106386,,
FTSI,FTS International Inc. Class A Common Stock,$17.42,-0.55,-3.061%,243878711.00,United States,2020,24468,Energy,Oilfield Services/Equipment
FURY,Fury Gold Mines Limited Common Shares,$1.50,-0.06,-3.846%,176735786.00,,2020,838977,Basic Industries,Precious Metals
